pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
554;1000;16;0.016
555;1000;68;0.068
556;1000;81;0.081
557;1000;88;0.088
558;1000;64;0.064
559;1000;27;0.027
560;1000;34;0.034
561;1000;87;0.087
562;1000;56;0.056
563;1000;9;0.009
564;1000;35;0.035
565;1000;0;0
566;1000;52;0.052
567;1000;82;0.082
568;1000;5;0.005
569;1000;26;0.026
570;1000;81;0.081
571;1000;10;0.01
572;1000;73;0.073
573;1000;29;0.029
574;1000;0;0
575;1000;2;0.002
576;1000;86;0.086
577;1000;30;0.03
578;1000;11;0.011
579;1000;87;0.087
580;1000;16;0.016
581;1000;90;0.09
582;1000;82;0.082
583;1000;18;0.018
584;1000;22;0.022
585;1000;81;0.081
586;1000;27;0.027
587;1000;85;0.085
588;1000;83;0.083
589;1000;31;0.031
590;1000;23;0.023
591;1000;9;0.009
592;1000;81;0.081
593;1000;5;0.005
594;1000;90;0.09
595;1000;10;0.01
596;1000;58;0.058
597;1000;12;0.012
598;1000;89;0.089
599;1000;78;0.078
600;1000;84;0.084
601;1000;7;0.007
602;1000;85;0.085
603;1000;84;0.084
604;1000;76;0.076
605;1000;19;0.019
606;1000;7;0.007
607;1000;83;0.083
608;1000;87;0.087
609;1000;13;0.013
610;1000;83;0.083
611;1000;30;0.03
612;1000;89;0.089
613;1000;62;0.062
614;1000;83;0.083
615;1000;57;0.057
616;1000;82;0.082
617;1000;82;0.082
618;1000;2;0.002
619;1000;31;0.031
620;1000;83;0.083
621;1000;31;0.031
622;1000;29;0.029
623;1000;54;0.054
624;1000;83;0.083
625;1000;26;0.026
626;1000;31;0.031
627;1000;84;0.084
628;1000;57;0.057
629;1000;16;0.016
630;1000;27;0.027
631;1000;88;0.088
632;1000;23;0.023
633;1000;79;0.079
634;1000;84;0.084
635;1000;89;0.089
636;1000;82;0.082
637;1000;59;0.059
638;1000;20;0.02
639;1000;85;0.085
640;1000;60;0.06
641;1000;84;0.084
642;1000;11;0.011
