pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
605;1000;15;0.015
606;1000;87;0.087
607;1000;96;0.096
608;1000;28;0.028
609;1000;26;0.026
610;1000;79;0.079
611;1000;26;0.026
612;1000;52;0.052
613;1000;69;0.069
614;1000;73;0.073
615;1000;4;0.004
616;1000;78;0.078
617;1000;55;0.055
618;1000;27;0.027
619;1000;15;0.015
620;1000;0;0
621;1000;77;0.077
622;1000;74;0.074
623;1000;75;0.075
624;1000;46;0.046
625;1000;86;0.086
626;1000;75;0.075
627;1000;87;0.087
628;1000;59;0.059
629;1000;39;0.039
630;1000;52;0.052
631;1000;72;0.072
632;1000;0;0
633;1000;43;0.043
634;1000;76;0.076
635;1000;75;0.075
636;1000;2;0.002
637;1000;79;0.079
638;1000;28;0.028
639;1000;11;0.011
640;1000;75;0.075
641;1000;64;0.064
642;1000;37;0.037
643;1000;77;0.077
644;1000;73;0.073
645;1000;86;0.086
646;1000;89;0.089
647;1000;79;0.079
648;1000;1;0.001
649;1000;6;0.006
650;1000;70;0.07
651;1000;81;0.081
652;1000;7;0.007
653;1000;78;0.078
654;1000;34;0.034
655;1000;75;0.075
656;1000;45;0.045
657;1000;5;0.005
658;1000;30;0.03
659;1000;43;0.043
660;1000;83;0.083
661;1000;27;0.027
662;1000;26;0.026
663;1000;78;0.078
664;1000;50;0.05
665;1000;85;0.085
666;1000;65;0.065
667;1000;27;0.027
668;1000;84;0.084
669;1000;30;0.03
670;1000;17;0.017
671;1000;26;0.026
672;1000;73;0.073
673;1000;4;0.004
674;1000;82;0.082
675;1000;77;0.077
676;1000;71;0.071
677;1000;31;0.031
678;1000;71;0.071
679;1000;72;0.072
680;1000;77;0.077
681;1000;78;0.078
682;1000;1;0.001
683;1000;75;0.075
684;1000;49;0.049
685;1000;83;0.083
686;1000;79;0.079
687;1000;43;0.043
688;1000;23;0.023
689;1000;45;0.045
690;1000;74;0.074
691;1000;77;0.077
692;1000;72;0.072
693;1000;71;0.071
694;1000;50;0.05
695;1000;29;0.029
696;1000;68;0.068
697;1000;38;0.038
698;1000;13;0.013
699;1000;28;0.028
700;1000;78;0.078
701;1000;33;0.033
702;1000;72;0.072
703;1000;40;0.04
704;1000;79;0.079
705;1000;58;0.058
706;1000;4;0.004
707;1000;92;0.092
708;1000;29;0.029
709;1000;82;0.082
710;1000;80;0.08
711;1000;74;0.074
712;1000;83;0.083
713;1000;84;0.084
714;1000;72;0.072
715;1000;12;0.012
716;1000;76;0.076
717;1000;7;0.007
718;1000;26;0.026
719;1000;75;0.075
720;1000;51;0.051
721;1000;80;0.08
722;1000;15;0.015
723;1000;68;0.068
724;1000;77;0.077
725;1000;20;0.02
726;1000;9;0.009
727;1000;8;0.008
728;1000;69;0.069
729;1000;37;0.037
730;1000;9;0.009
731;1000;74;0.074
732;1000;19;0.019
733;1000;70;0.07
734;1000;31;0.031
735;1000;69;0.069
736;1000;73;0.073
737;1000;72;0.072
738;1000;76;0.076
739;1000;71;0.071
740;1000;93;0.093
741;1000;77;0.077
742;1000;72;0.072
743;1000;76;0.076
744;1000;3;0.003
745;1000;36;0.036
746;1000;42;0.042
747;1000;30;0.03
748;1000;70;0.07
749;1000;53;0.053
750;1000;58;0.058
751;1000;79;0.079
752;1000;74;0.074
753;1000;43;0.043
754;1000;45;0.045
755;1000;76;0.076
756;1000;85;0.085
757;1000;18;0.018
758;1000;79;0.079
759;1000;80;0.08
760;1000;72;0.072
761;1000;72;0.072
762;1000;74;0.074
763;1000;74;0.074
764;1000;10;0.01
765;1000;75;0.075
766;1000;79;0.079
767;1000;39;0.039
768;1000;43;0.043
769;1000;81;0.081
770;1000;53;0.053
771;1000;6;0.006
772;1000;64;0.064
773;1000;45;0.045
774;1000;14;0.014
775;1000;32;0.032
776;1000;85;0.085
777;1000;81;0.081
778;1000;76;0.076
779;1000;74;0.074
780;1000;83;0.083
781;1000;1;0.001
782;1000;54;0.054
783;1000;76;0.076
784;1000;78;0.078
785;1000;56;0.056
786;1000;46;0.046
787;1000;83;0.083
788;1000;51;0.051
789;1000;76;0.076
790;1000;89;0.089
791;1000;25;0.025
792;1000;84;0.084
793;1000;81;0.081
794;1000;77;0.077
795;1000;43;0.043
796;1000;33;0.033
797;1000;77;0.077
798;1000;73;0.073
799;1000;35;0.035
800;1000;77;0.077
801;1000;71;0.071
802;1000;75;0.075
803;1000;19;0.019
804;1000;43;0.043
805;1000;16;0.016
806;1000;73;0.073
807;1000;28;0.028
808;1000;99;0.099
809;1000;23;0.023
810;1000;78;0.078
811;1000;85;0.085
812;1000;54;0.054
813;1000;16;0.016
814;1000;57;0.057
815;1000;47;0.047
816;1000;45;0.045
817;1000;13;0.013
818;1000;13;0.013
819;1000;74;0.074
820;1000;76;0.076
821;1000;53;0.053
822;1000;1;0.001
823;1000;63;0.063
824;1000;47;0.047
825;1000;49;0.049
826;1000;1;0.001
827;1000;36;0.036
828;1000;33;0.033
829;1000;7;0.007
830;1000;95;0.095
831;1000;31;0.031
832;1000;77;0.077
833;1000;10;0.01
834;1000;73;0.073
835;1000;72;0.072
836;1000;16;0.016
837;1000;42;0.042
838;1000;34;0.034
839;1000;3;0.003
840;1000;26;0.026
841;1000;79;0.079
842;1000;34;0.034
843;1000;75;0.075
844;1000;71;0.071
845;1000;24;0.024
846;1000;2;0.002
847;1000;0;0
848;1000;22;0.022
849;1000;12;0.012
850;1000;68;0.068
851;1000;74;0.074
852;1000;10;0.01
853;1000;40;0.04
854;1000;75;0.075
855;1000;79;0.079
856;1000;70;0.07
857;1000;73;0.073
858;1000;74;0.074
859;1000;73;0.073
860;1000;27;0.027
861;1000;61;0.061
862;1000;51;0.051
863;1000;72;0.072
864;1000;12;0.012
865;1000;59;0.059
866;1000;24;0.024
867;1000;23;0.023
868;1000;21;0.021
869;1000;73;0.073
870;1000;36;0.036
871;1000;40;0.04
872;1000;6;0.006
873;1000;35;0.035
874;1000;83;0.083
875;1000;31;0.031
876;1000;76;0.076
877;1000;84;0.084
878;1000;16;0.016
879;1000;75;0.075
880;1000;15;0.015
881;1000;60;0.06
882;1000;0;0
883;1000;29;0.029
884;1000;8;0.008
885;1000;73;0.073
886;1000;27;0.027
887;1000;6;0.006
888;1000;26;0.026
889;1000;8;0.008
890;1000;35;0.035
891;1000;73;0.073
892;1000;59;0.059
893;1000;75;0.075
894;1000;71;0.071
895;1000;69;0.069
896;1000;94;0.094
897;1000;0;0
898;1000;80;0.08
899;1000;9;0.009
900;1000;42;0.042
