pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms);;pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms);;pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
148;1000000;154;0,000154;;148;1000000;189;0,000189;;148;1000000;243;0,000243
149;1000000;153;0,000153;;149;1000000;217;0,000217;;149;1000000;214;0,000214
150;1000000;159;0,000159;;150;1000000;191;0,000191;;150;1000000;211;0,000211
151;1000000;181;0,000181;;151;1000000;179;0,000179;;151;1000000;236;0,000236
152;1000000;136;0,000136;;152;1000000;182;0,000182;;152;1000000;198;0,000198
153;1000000;157;0,000157;;153;1000000;189;0,000189;;153;1000000;220;0,00022
154;1000000;129;0,000129;;154;1000000;174;0,000174;;154;1000000;227;0,000227
155;1000000;153;0,000153;;155;1000000;174;0,000174;;155;1000000;277;0,000277
156;1000000;127;0,000127;;156;1000000;187;0,000187;;156;1000000;207;0,000207
157;1000000;132;0,000132;;157;1000000;176;0,000176;;157;1000000;206;0,000206
158;1000000;149;0,000149;;158;1000000;158;0,000158;;158;1000000;239;0,000239
159;1000000;140;0,00014;;159;1000000;157;0,000157;;159;1000000;217;0,000217
160;1000000;152;0,000152;;160;1000000;185;0,000185;;160;1000000;241;0,000241
161;1000000;188;0,000188;;161;1000000;152;0,000152;;161;1000000;203;0,000203
162;1000000;155;0,000155;;162;1000000;165;0,000165;;162;1000000;230;0,00023
163;1000000;159;0,000159;;163;1000000;207;0,000207;;163;1000000;209;0,000209
164;1000000;154;0,000154;;164;1000000;206;0,000206;;164;1000000;201;0,000201
165;1000000;195;0,000195;;165;1000000;193;0,000193;;165;1000000;225;0,000225
166;1000000;154;0,000154;;166;1000000;217;0,000217;;166;1000000;213;0,000213
167;1000000;188;0,000188;;167;1000000;153;0,000153;;167;1000000;190;0,00019
168;1000000;232;0,000232;;168;1000000;191;0,000191;;168;1000000;188;0,000188
169;1000000;213;0,000213;;169;1000000;176;0,000176;;169;1000000;190;0,00019
170;1000000;210;0,00021;;170;1000000;193;0,000193;;170;1000000;171;0,000171
171;1000000;202;0,000202;;171;1000000;243;0,000243;;171;1000000;182;0,000182
172;1000000;208;0,000208;;172;1000000;197;0,000197;;172;1000000;183;0,000183
173;1000000;182;0,000182;;173;1000000;237;0,000237;;173;1000000;210;0,00021
174;1000000;529;0,000529;;174;1000000;269;0,000269;;174;1000000;193;0,000193
175;1000000;229;0,000229;;175;1000000;276;0,000276;;175;1000000;167;0,000167
176;1000000;178;0,000178;;176;1000000;242;0,000242;;176;1000000;168;0,000168
177;1000000;207;0,000207;;177;1000000;292;0,000292;;177;1000000;166;0,000166
178;1000000;186;0,000186;;178;1000000;265;0,000265;;178;1000000;176;0,000176
179;1000000;202;0,000202;;179;1000000;289;0,000289;;179;1000000;171;0,000171
180;1000000;174;0,000174;;180;1000000;212;0,000212;;180;1000000;175;0,000175
181;1000000;171;0,000171;;181;1000000;230;0,00023;;181;1000000;170;0,00017
182;1000000;225;0,000225;;182;1000000;241;0,000241;;182;1000000;170;0,00017
183;1000000;205;0,000205;;183;1000000;227;0,000227;;183;1000000;173;0,000173
184;1000000;224;0,000224;;184;1000000;221;0,000221;;184;1000000;173;0,000173
185;1000000;189;0,000189;;185;1000000;216;0,000216;;185;1000000;171;0,000171
186;1000000;203;0,000203;;186;1000000;215;0,000215;;186;1000000;175;0,000175
187;1000000;180;0,00018;;187;1000000;228;0,000228;;187;1000000;171;0,000171
188;1000000;195;0,000195;;188;1000000;202;0,000202;;188;1000000;175;0,000175
189;1000000;219;0,000219;;189;1000000;241;0,000241;;189;1000000;226;0,000226
190;1000000;193;0,000193;;190;1000000;212;0,000212;;190;1000000;173;0,000173
191;1000000;191;0,000191;;191;1000000;189;0,000189;;191;1000000;218;0,000218
192;1000000;260;0,00026;;192;1000000;225;0,000225;;192;1000000;173;0,000173
193;1000000;225;0,000225;;193;1000000;196;0,000196;;193;1000000;205;0,000205
194;1000000;204;0,000204;;194;1000000;201;0,000201;;194;1000000;235;0,000235
195;1000000;186;0,000186;;195;1000000;215;0,000215;;195;1000000;199;0,000199
196;1000000;199;0,000199;;196;1000000;203;0,000203;;196;1000000;198;0,000198
197;1000000;227;0,000227;;197;1000000;177;0,000177;;197;1000000;180;0,00018
198;1000000;230;0,00023;;198;1000000;189;0,000189;;198;1000000;194;0,000194
199;1000000;214;0,000214;;199;1000000;194;0,000194;;199;1000000;238;0,000238
