pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
525;1000;44;0.044
526;1000;40;0.04
527;1000;50;0.05
528;1000;74;0.074
529;1000;15;0.015
530;1000;35;0.035
531;1000;36;0.036
532;1000;11;0.011
533;1000;14;0.014
534;1000;6;0.006
535;1000;67;0.067
536;1000;58;0.058
537;1000;48;0.048
538;1000;12;0.012
539;1000;28;0.028
540;1000;53;0.053
541;1000;96;0.096
542;1000;13;0.013
543;1000;36;0.036
544;1000;144;0.144
545;1000;109;0.109
546;1000;100;0.1
547;1000;27;0.027
548;1000;107;0.107
549;1000;55;0.055
550;1000;101;0.101
551;1000;23;0.023
552;1000;10;0.01
553;1000;62;0.062
554;1000;28;0.028
555;1000;49;0.049
556;1000;59;0.059
557;1000;69;0.069
558;1000;114;0.114
559;1000;21;0.021
560;1000;20;0.02
561;1000;20;0.02
562;1000;3;0.003
563;1000;71;0.071
564;1000;2;0.002
565;1000;117;0.117
566;1000;123;0.123
567;1000;102;0.102
568;1000;11;0.011
569;1000;37;0.037
570;1000;21;0.021
571;1000;6;0.006
572;1000;122;0.122
573;1000;128;0.128
574;1000;85;0.085
575;1000;126;0.126
576;1000;73;0.073
577;1000;16;0.016
578;1000;129;0.129
579;1000;71;0.071
580;1000;61;0.061
581;1000;125;0.125
582;1000;44;0.044
583;1000;1;0.001
584;1000;92;0.092
585;1000;65;0.065
586;1000;81;0.081
587;1000;69;0.069
588;1000;110;0.11
589;1000;58;0.058
590;1000;128;0.128
591;1000;20;0.02
592;1000;69;0.069
593;1000;55;0.055
594;1000;121;0.121
595;1000;32;0.032
596;1000;83;0.083
597;1000;66;0.066
598;1000;120;0.12
599;1000;36;0.036
600;1000;0;0
601;1000;63;0.063
602;1000;49;0.049
603;1000;88;0.088
604;1000;43;0.043
605;1000;58;0.058
606;1000;97;0.097
607;1000;17;0.017
608;1000;18;0.018
609;1000;101;0.101
610;1000;73;0.073
611;1000;83;0.083
612;1000;101;0.101
613;1000;43;0.043
614;1000;19;0.019
615;1000;47;0.047
616;1000;77;0.077
617;1000;63;0.063
618;1000;74;0.074
619;1000;95;0.095
620;1000;69;0.069
621;1000;8;0.008
622;1000;17;0.017
623;1000;80;0.08
624;1000;112;0.112
625;1000;90;0.09
626;1000;21;0.021
627;1000;118;0.118
628;1000;89;0.089
629;1000;56;0.056
630;1000;96;0.096
631;1000;38;0.038
632;1000;121;0.121
633;1000;125;0.125
634;1000;60;0.06
635;1000;61;0.061
636;1000;7;0.007
637;1000;63;0.063
638;1000;158;0.158
639;1000;141;0.141
640;1000;16;0.016
641;1000;5;0.005
642;1000;85;0.085
643;1000;19;0.019
644;1000;19;0.019
645;1000;111;0.111
646;1000;0;0
647;1000;33;0.033
648;1000;123;0.123
649;1000;98;0.098
650;1000;60;0.06
651;1000;160;0.16
652;1000;119;0.119
653;1000;105;0.105
654;1000;19;0.019
655;1000;8;0.008
656;1000;120;0.12
657;1000;120;0.12
658;1000;47;0.047
659;1000;20;0.02
660;1000;28;0.028
661;1000;90;0.09
662;1000;2;0.002
663;1000;102;0.102
664;1000;32;0.032
665;1000;129;0.129
666;1000;77;0.077
667;1000;85;0.085
668;1000;54;0.054
669;1000;130;0.13
670;1000;30;0.03
671;1000;8;0.008
672;1000;50;0.05
673;1000;57;0.057
674;1000;30;0.03
675;1000;129;0.129
676;1000;138;0.138
677;1000;54;0.054
678;1000;37;0.037
679;1000;64;0.064
680;1000;154;0.154
681;1000;22;0.022
682;1000;13;0.013
683;1000;83;0.083
684;1000;8;0.008
685;1000;47;0.047
686;1000;45;0.045
687;1000;64;0.064
688;1000;23;0.023
689;1000;40;0.04
690;1000;168;0.168
691;1000;76;0.076
692;1000;70;0.07
693;1000;98;0.098
694;1000;125;0.125
695;1000;94;0.094
696;1000;8;0.008
697;1000;9;0.009
698;1000;22;0.022
699;1000;44;0.044
700;1000;105;0.105
701;1000;113;0.113
702;1000;16;0.016
703;1000;13;0.013
704;1000;151;0.151
705;1000;52;0.052
706;1000;56;0.056
707;1000;22;0.022
708;1000;14;0.014
709;1000;60;0.06
710;1000;78;0.078
711;1000;8;0.008
712;1000;120;0.12
713;1000;9;0.009
714;1000;134;0.134
715;1000;24;0.024
716;1000;138;0.138
717;1000;65;0.065
718;1000;41;0.041
719;1000;67;0.067
720;1000;7;0.007
721;1000;7;0.007
722;1000;26;0.026
723;1000;107;0.107
724;1000;44;0.044
725;1000;96;0.096
726;1000;96;0.096
727;1000;36;0.036
728;1000;93;0.093
729;1000;46;0.046
730;1000;127;0.127
731;1000;58;0.058
732;1000;47;0.047
733;1000;47;0.047
734;1000;109;0.109
735;1000;89;0.089
736;1000;126;0.126
737;1000;43;0.043
738;1000;16;0.016
739;1000;65;0.065
740;1000;17;0.017
741;1000;81;0.081
742;1000;132;0.132
743;1000;103;0.103
744;1000;130;0.13
745;1000;151;0.151
746;1000;9;0.009
747;1000;124;0.124
748;1000;54;0.054
749;1000;127;0.127
750;1000;141;0.141
751;1000;99;0.099
752;1000;117;0.117
753;1000;5;0.005
754;1000;119;0.119
755;1000;45;0.045
756;1000;79;0.079
757;1000;126;0.126
758;1000;22;0.022
759;1000;73;0.073
760;1000;31;0.031
761;1000;141;0.141
762;1000;12;0.012
763;1000;82;0.082
764;1000;30;0.03
765;1000;139;0.139
766;1000;23;0.023
767;1000;134;0.134
768;1000;36;0.036
769;1000;37;0.037
770;1000;2;0.002
771;1000;37;0.037
772;1000;31;0.031
773;1000;28;0.028
774;1000;27;0.027
775;1000;35;0.035
776;1000;19;0.019
777;1000;150;0.15
778;1000;74;0.074
779;1000;82;0.082
780;1000;71;0.071
781;1000;26;0.026
782;1000;47;0.047
783;1000;86;0.086
784;1000;45;0.045
785;1000;139;0.139
786;1000;14;0.014
787;1000;130;0.13
788;1000;33;0.033
789;1000;67;0.067
790;1000;176;0.176
791;1000;151;0.151
792;1000;80;0.08
793;1000;77;0.077
794;1000;131;0.131
795;1000;149;0.149
796;1000;143;0.143
797;1000;48;0.048
798;1000;31;0.031
799;1000;109;0.109
